Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
bombones con pisco y pasas di perugia licorinas 144g,S/18.50,0,Di Perugia,Metro,bombon pisc pas di perugi licorin 144g,0,"sals, bols, chocolat"
piqueo snax original frito lay 200g,S/6.80,30 %,Frito Lays,Metro,pique snax original frit lay 200g,8,"200g, past, cuisin"
lentejón cuisine & co 500g,S/4.48,20 %,Cuisine & Co,Metro,lentejon cuisin & co 500g,11,"500g, maxim, co"
aceite de oliva sabor suave botella 200 ml,S/13.30,0,El Olivar,Metro,aceit oliv sabor suav botell 200 ml,5,"aceit, atun, vegetal"
crema de espárragos metro contenido 70 g,S/3.80,0,Metro,Metro,crem esparrag metr conten 70 g,0,"sals, bols, chocolat"
arroz superior metro 750g,S/. 3.40,0,Metro,Metro,arroz superior metr 750g,7,"arroz, kg, extra"
duraznos en almíbar cuisine & co lata 820 gr,S/8.72,20 %,Cuisine & Co,Metro,durazn almib cuisin & co lat 820 gr,6,"cuisin, co, fide"
filete de atún en aceite girasol y sal florida 140g,S/6.00,13 %,Florida,Metro,filet atun aceit girasol sal flor 140g,5,"aceit, atun, vegetal"
salsa huancaína nicolini 390g,S/13.10,0,Nicolini,Metro,sals huancain nicolini 390g,0,"sals, bols, chocolat"
maní oriental granuts 180g,S/6.60,0,Granuts,Metro,man oriental granuts 180g,0,"sals, bols, chocolat"
bombones de chocolate sublime 136g,S/10.50,19 %,Sublime,Metro,bombon chocolat sublim 136g,0,"sals, bols, chocolat"
barquillos morochas 280g,S/16.10,0,Nestle,Metro,barquill moroch 280g,0,"sals, bols, chocolat"
galletas de arroz dulce sin gluten costeño doypack 150 g,S/6.79,0,Costeño,Metro,gallet arroz dulc glut costeñ doypack 150 g,2,"gallet, sixpack, 47g"
manjar blanco bonlé contenido 500 g,S/9.90,5 %,Bonlé,Metro,manj blanc bonl conten 500 g,0,"sals, bols, chocolat"
papas al hilo villa natura 500g,S/19.20,0,Villa Natura,Metro,pap hil vill natur 500g,11,"500g, maxim, co"
arroz tazón norteño superior bolsa 5 kg,S/. 19.50,0,Tazon Norteño,Metro,arroz tazon norteñ superior bols 5 kg,7,"arroz, kg, extra"
vinagre tinto del firme doy pack 1000 ml,S/4.80,0,Del Firme,Metro,vinagr tint firm doy pack 1000 ml,0,"sals, bols, chocolat"
sixpack galletas pícaras la chips 40g,S/5.60,0,Picaras,Metro,sixpack gallet pic chips 40g,2,"gallet, sixpack, 47g"
aceite oliva extra virgen huerto alamein 1l,S/43.90,0,Huerto Alamein,Metro,aceit oliv extra virg huert alamein 1l,5,"aceit, atun, vegetal"
papas pringles crema y cebolla 124g,S/9.90,0,Pringles,Metro,pap pringl crem ceboll 124g,0,"sals, bols, chocolat"
mix de frutos secos con arándanos granuts 50g,S/3.70,0,Granuts,Metro,mix frut sec arandan granuts 50g,0,"sals, bols, chocolat"
maíz pop corn máxima 500g,S/4.30,0,Máxima,Metro,maiz pop corn maxim 500g,11,"500g, maxim, co"
lentejón máxima 500g,S/4.90,0,Máxima,Metro,lentejon maxim 500g,11,"500g, maxim, co"
sixpack galletas victoria choco bum 33.5g,S/4.80,0,Victoria,Metro,sixpack gallet victori choc bum 33.5g,2,"gallet, sixpack, 47g"
lomito de atún en aceite vegetal florida 140g,S/7.50,0,Florida,Metro,lomit atun aceit vegetal flor 140g,5,"aceit, atun, vegetal"
arveja paisana bolsa 500 g,S/3.99,0,Paisana,Metro,arvej paisan bols 500 g,3,"500, bols, costeñ"
frijol canario paisana bolsa 500 g,S/9.29,0,Paisana,Metro,frijol canari paisan bols 500 g,3,"500, bols, costeñ"
chocolate con leche y almendras hershey's kisses 74g,S/11.00,14 %,Hershey's,Metro,chocolat lech almendr hershey 's kiss 74g,0,"sals, bols, chocolat"
cashews vallealto 90g,S/9.90,16 %,Vallealto,Metro,cashews vallealt 90g,0,"sals, bols, chocolat"
pecanas peladas vallealto 90g,S/13.40,0,Vallealto,Metro,pecan pel vallealt 90g,0,"sals, bols, chocolat"
mezcla blanca flor panqueque casero 720g,S/9.70,0,Blanca Flor,Metro,mezcl blanc flor panquequ caser 720g,0,"sals, bols, chocolat"
chicle sin azúcar sabor hierbabuena y sandía trident splash 9un,S/2.56,20 %,Trident,Metro,chicl azuc sabor hierbabuen sand trident splash 9un,9,"sabor, instantane, sop"
aceite ajonjoli olivos del sur 100 ml,S/11.10,0,Olivos del Sur,Metro,aceit ajonjoli oliv sur 100 ml,5,"aceit, atun, vegetal"
canela molida badía frasco 56.7 g,S/9.20,0,Badia,Metro,canel mol bad frasc 56.7 g,4,"sibarit, mol, sazon"
fideos farfalle cuisine & co 500g,S/3.50,12 %,Cuisine & Co,Metro,fide farfall cuisin & co 500g,6,"cuisin, co, fide"
linguine nro 77 cuisine & co bolsa 500 gr,S/4.60,0,Cuisine & Co,Metro,linguin nro 77 cuisin & co bols 500 gr,6,"cuisin, co, fide"
galletas danesas castillos famosos 340g,S/. 11.83,30 %,Ripensa,Metro,gallet danes castill famos 340g,2,"gallet, sixpack, 47g"
filete de atún real 140g,S/6.10,6 %,Real,Metro,filet atun real 140g,5,"aceit, atun, vegetal"
mix de frutos secos con arándanos granuts 180g,S/10.80,0,Granuts,Metro,mix frut sec arandan granuts 180g,0,"sals, bols, chocolat"
mix de nueces granuts 160g,S/11.90,0,Granuts,Metro,mix nuec granuts 160g,0,"sals, bols, chocolat"
arroz integral paisana bolsa 1 kg,S/. 6.15,0,Paisana,Metro,arroz integral paisan bols 1 kg,7,"arroz, kg, extra"
trifruna chicha manza piña ambrosoli contenido 420 g,S/9.90,0,Ambrosoli,Metro,trifrun chich manz piñ ambrosoli conten 420 g,0,"sals, bols, chocolat"
caramelos ambrosoli cocoroko perita ambrosoli bolsa 350 g,S/7.70,0,Ambrosoli,Metro,caramel ambrosoli cocorok perit ambrosoli bols 350 g,0,"sals, bols, chocolat"
pack x4 crema con grageas chin chin mix 80g,S/6.50,0,Chin Chin,Metro,pack x4 crem grag chin chin mix 80g,0,"sals, bols, chocolat"
ablanda sazón aji no mix 4un,S/2.80,12 %,Ajinomoto,Metro,abland sazon aji mix 4un,4,"sibarit, mol, sazon"
mostaza heinz doy pack 368 g,S/11.50,0,Heinz,Metro,mostaz heinz doy pack 368 g,0,"sals, bols, chocolat"
pimienta negra molida sibarita 40g,S/9.90,0,Sibarita,Metro,pimient negr mol sibarit 40g,4,"sibarit, mol, sazon"
sillau lam botella 500 ml,S/3.80,0,Lam,Metro,sillau lam botell 500 ml,0,"sals, bols, chocolat"
manjarblanco bazo velarde 500g,S/10.45,0,Bazo Velarde,Metro,manjarblanc baz velard 500g,11,"500g, maxim, co"
azúcar impalpable fleischmann bolsa 200 g,S/2.60,0,Fleischmann,Metro,azuc impalp fleischmann bols 200 g,0,"sals, bols, chocolat"
polvo de hornear fleischmann sobre 20 g,S/1.20,0,Fleischmann,Metro,polv horn fleischmann 20 g,0,"sals, bols, chocolat"
colapiz en polvo universal sobre 20 g,S/2.65,0,Universal,Metro,colapiz polv universal 20 g,10,"gelatin, universal, polv"
grageas confitadas lentejas caja 30 g,S/1.70,0,Nestlé,Metro,grag confit lentej caj 30 g,0,"sals, bols, chocolat"
chocolate con leche triángulo barra 30 g,S/1.80,0,Triángulo,Metro,chocolat lech triangul barr 30 g,0,"sals, bols, chocolat"
cubito sabor carne maggi 25un.,S/5.60,0,Maggi,Metro,cubit sabor carn maggi 25un .,9,"sabor, instantane, sop"
chocolate bitter vizzio costa 69g,S/4.99,0,Costa,Metro,chocolat bitt vizzi cost 69g,0,"sals, bols, chocolat"
chicle sin azúcar tutti frutti trident 18un,S/2.88,20 %,Trident,Metro,chicl azuc tutti frutti trident 18un,9,"sabor, instantane, sop"
chicle sin azúcar herbal trident fresh 18un,S/2.88,20 %,Trident,Metro,chicl azuc herbal trident fresh 18un,9,"sabor, instantane, sop"
chicle sin azúcar de sandía trident 18un,S/2.88,20 %,Trident,Metro,chicl azuc sand trident 18un,9,"sabor, instantane, sop"
orégano molido sibarita 50g,S/4.49,0,Sibarita,Metro,oregan mol sibarit 50g,4,"sibarit, mol, sazon"
"king kong de manjarblanco, piña y maní caja 450 g",S/22.90,17 %,San Roque,Metro,"king kong manjarblanc , piñ man caj 450 g",0,"sals, bols, chocolat"
chocolate de leche con avellanas mauxion salut 100g,S/. 5.90,0,Mauxion,Metro,chocolat lech avellan mauxion salut 100g,0,"sals, bols, chocolat"
fudge heladero bazo velarde 200g,S/4.75,0,Bazo Velarde,Metro,fudg helader baz velard 200g,8,"200g, past, cuisin"
chocolate con leche confitado mini chin chin 32un,S/14.90,0,Chin Chin,Metro,chocolat lech confit mini chin chin 32un,0,"sals, bols, chocolat"
harina de trigo integral doypack 1 kg,S/12.90,0,Marimiel,Metro,harin trig integral doypack 1 kg,0,"sals, bols, chocolat"
pasas morenas vallealto 150g,S/5.00,0,Vallealto,Metro,pas moren vallealt 150g,0,"sals, bols, chocolat"
pudín sabor chocolate diet universal 19g,S/3.90,0,Universal,Metro,pudin sabor chocolat diet universal 19g,10,"gelatin, universal, polv"
mazamorra diet universal morada caja 150 g,S/3.50,0,Universal,Metro,mazamorr diet universal mor caj 150 g,10,"gelatin, universal, polv"
mazamorra de durazno universal bolsa 150 g,S/3.50,0,Universal,Metro,mazamorr durazn universal bols 150 g,10,"gelatin, universal, polv"
flan diet universal de vainilla caja 19 g,S/3.80,0,Universal,Metro,flan diet universal vainill caj 19 g,10,"gelatin, universal, polv"
gelatina diet universal con stevia piña caja 19g,S/4.90,0,Universal,Metro,gelatin diet universal stevi piñ caj 19g,10,"gelatin, universal, polv"
gelatina diet universal con stevia fresa caja 19 g,S/4.90,0,Universal,Metro,gelatin diet universal stevi fres caj 19 g,10,"gelatin, universal, polv"
mezcla para apanar maggi apanado 80g,S/3.50,0,Maggi,Metro,mezcl apan maggi apan 80g,0,"sals, bols, chocolat"
vinagre tinto florida botella plástica 625 ml,S/3.40,0,Florida,Metro,vinagr tint flor botell plastic 625 ml,0,"sals, bols, chocolat"
vinagre de manzana perú pride botella 500 ml,S/13.50,0,Perú Pride,Metro,vinagr manzan peru prid botell 500 ml,0,"sals, bols, chocolat"
vinagre balsámico filippo berio botella 250 ml,S/. 11.18,24 %,Filippo Berio,Metro,vinagr balsam filipp beri botell 250 ml,0,"sals, bols, chocolat"
super sazonador ajinomoto frasco 100 g,S/8.99,0,Ajinomoto,Metro,sup sazon ajinomot frasc 100 g,4,"sibarit, mol, sazon"
sillau kikko botella 500 ml,S/4.60,0,Kikko,Metro,sillau kikk botell 500 ml,0,"sals, bols, chocolat"
sazonador sibarita frasco 80 g,S/5.30,0,Sibarita,Metro,sazon sibarit frasc 80 g,4,"sibarit, mol, sazon"
sazonador sazón completa badia frasco 3.5 onzas,S/9.50,0,Badia,Metro,sazon sazon complet badi frasc 3.5 onzas,4,"sibarit, mol, sazon"
salsa ostión alida chiang botella 60 ml,S/9.10,0,Alida Chiang,Metro,sals ostion alid chiang botell 60 ml,0,"sals, bols, chocolat"
crema de ají y queso alacena huancaína 85g,S/4.80,0,AlaCena,Metro,crem aji ques alacen huancain 85g,0,"sals, bols, chocolat"
pimienta negra entera sibarita sobre 15 g,S/2.90,0,Sibarita,Metro,pimient negr enter sibarit 15 g,4,"sibarit, mol, sazon"
pimienta negra entera badia frasco con moledor 2.25 onzas,S/13.90,0,Badia,Metro,pimient negr enter badi frasc moledor 2.25 onzas,4,"sibarit, mol, sazon"
paprika badia sobre 1 onza,S/4.19,0,Badia,Metro,paprik badi 1 onza,0,"sals, bols, chocolat"
hongos con laurel sibarita sobre 10 g,S/2.50,0,Sibarita,Metro,hong laurel sibarit 10 g,4,"sibarit, mol, sazon"
culantro verdecito sibarita pack 6 unid,S/4.29,0,Sibarita,Metro,culantr verdecit sibarit pack 6 unid,4,"sibarit, mol, sazon"
crema de ají tarí alacena doypack 85 g,S/4.80,0,AlaCena,Metro,crem aji tar alacen doypack 85 g,0,"sals, bols, chocolat"
crema de ají alacena tarí 400g,S/13.90,0,AlaCena,Metro,crem aji alacen tar 400g,0,"sals, bols, chocolat"
canela molida badia sobre 0.5 onzas,S/4.19,0,Badia,Metro,canel mol badi 0.5 onzas,4,"sibarit, mol, sazon"
ajos en pasta sibarita pack 3 unid x 24 g,S/3.20,0,Sibarita,Metro,ajos past sibarit pack 3 unid x 24 g,4,"sibarit, mol, sazon"
tortillas chip mexi nachos bolsa 100 g,S/4.70,0,Mexi Nachos,Metro,tortill chip mexi nach bols 100 g,0,"sals, bols, chocolat"
pop corn natural act ii bolsa 80 g,S/4.60,0,Act II,Metro,pop corn natural act ii bols 80 g,0,"sals, bols, chocolat"
pop corn butter act ii pack 3 unid,S/14.70,0,Act II,Metro,pop corn butt act ii pack 3 unid,0,"sals, bols, chocolat"
papas en hojuelas lay's ondas clásica 140g,S/4.90,28 %,Frito Lays,Metro,pap hojuel lay 's ondas clasic 140g,0,"sals, bols, chocolat"
maní crocante salado karinto 200g,S/5.50,31 %,Karinto,Metro,man crocant sal karint 200g,8,"200g, past, cuisin"
habas saladas karinto bolsa 70 gr,S/4.30,0,Karinto,Metro,hab sal karint bols 70 gr,0,"sals, bols, chocolat"
chifles norteños milys 160g,S/7.50,0,Milys,Metro,chifl norteñ milys 160g,0,"sals, bols, chocolat"
hojuelas de camote natuchips 135g,S/6.50,0,Natu Chips,Metro,hojuel camot natuchips 135g,0,"sals, bols, chocolat"
galletas integrackers integrackers salvado de trigo 30g 9un,S/10.00,0,Victoria,Metro,gallet integrackers integrackers salv trig 30g 9un,2,"gallet, sixpack, 47g"
sixpack galletas tentación sabor vainilla 47g,S/4.70,0,Victoria,Metro,sixpack gallet tentacion sabor vainill 47g,2,"gallet, sixpack, 47g"
sixpack galletas tentación sabor coco 47g,S/4.70,0,Victoria,Metro,sixpack gallet tentacion sabor coc 47g,2,"gallet, sixpack, 47g"
sixpack galletas glacitas choconieve 32g,S/5.00,0,Victoria,Metro,sixpack gallet glacit choconiev 32g,2,"gallet, sixpack, 47g"
sixpack galletas glacitas fresa 32g,S/5.00,0,Victoria,Metro,sixpack gallet glacit fres 32g,2,"gallet, sixpack, 47g"
sixpack galletas casino vainilla 47g,S/4.80,0,Victoria,Metro,sixpack gallet casin vainill 47g,2,"gallet, sixpack, 47g"
sixpack galletas casino chocolate 47g,S/4.60,0,Victoria,Metro,sixpack gallet casin chocolat 47g,2,"gallet, sixpack, 47g"
galletas naturales nutri deli algarrobina 50g,S/2.99,0,Nutri Deli,Metro,gallet natural nutri deli algarrobin 50g,2,"gallet, sixpack, 47g"
galletas con chispas de chocolate mini chips ahoy bolsa 50 g,S/1.44,20 %,Chips Ahoy,Metro,gallet chisp chocolat mini chips ahoy bols 50 g,2,"gallet, sixpack, 47g"
sixpack galleta costa gran cereal clásica 36g,S/4.30,0,Costa,Metro,sixpack gallet cost gran cereal clasic 36g,2,"gallet, sixpack, 47g"
sixpack galletas caritas 189g,S/4.10,0,Costa,Metro,sixpack gallet carit 189g,2,"gallet, sixpack, 47g"
chocolate relleno con toffe helena peccanroll caja 100 g,S/12.50,25 %,Helena,Metro,chocolat rellen toff helen peccanroll caj 100 g,0,"sals, bols, chocolat"
pastillas de chocolate la ibérica 150g,S/14.80,20 %,La Ibérica,Metro,pastill chocolat iber 150g,0,"sals, bols, chocolat"
chocolate mini barritas milky la ibérica 10un,S/21.20,0,La Ibérica,Metro,chocolat mini barrit milky iber 10un,0,"sals, bols, chocolat"
bombones la ibérica cremas surtidas 150g,S/18.70,0,La Ibérica,Metro,bombon iber crem surt 150g,0,"sals, bols, chocolat"
marshmellows ambrosoli mellows bolsa 230 g,S/5.40,0,Ambrosoli,Metro,marshmellows ambrosoli mellows bols 230 g,0,"sals, bols, chocolat"
gomitas ambrosoli frugel 430g,S/14.90,0,Ambrosoli,Metro,gomit ambrosoli frugel 430g,0,"sals, bols, chocolat"
caramelos ambrosoli cocoroko limon bolsa 350 g,S/7.70,0,Ambrosoli,Metro,caramel ambrosoli cocorok limon bols 350 g,0,"sals, bols, chocolat"
pastina codo chico don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin cod chic don vittori 235g,1,"vittori, don, pastin"
pastina codo chico nicolini 235g,S/2.25,0,Nicolini,Metro,pastin cod chic nicolini 235g,1,"vittori, don, pastin"
pastina canuto chico nicolini 235g,S/2.10,0,Nicolini,Metro,pastin canut chic nicolini 235g,1,"vittori, don, pastin"
solido de atún florida lata 140g 48329001,S/5.90,24 %,Florida,Metro,sol atun flor lat 140g 48329001,5,"aceit, atun, vegetal"
sopa ramen maruchan sabor pollo 85g,S/3.40,0,Maruchan,Metro,sop ram maruch sabor poll 85g,9,"sabor, instantane, sop"
sopa instantánea ajinomen sabor pollo con verduras 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor poll verdur 80g,9,"sabor, instantane, sop"
caldo de pescado doña gusta caja 6un,S/1.70,0,Doña Gusta,Metro,cald pesc doñ gust caj 6un,0,"sals, bols, chocolat"
quinua perlada superior incasur bolsa 250 gr,S/8.70,0,Incasur,Metro,quinu perl superior incasur bols 250 gr,0,"sals, bols, chocolat"
lentejón costeño bolsa 500 g,S/6.10,0,Costeño,Metro,lentejon costeñ bols 500 g,3,"500, bols, costeñ"
frijol castilla costeño bolsa 500 g,S/5.60,0,Costeño,Metro,frijol castill costeñ bols 500 g,3,"500, bols, costeñ"
papa seca tesoro del campo bolsa 500 g,S/7.25,0,Tesoro del Campo,Metro,pap sec tesor camp bols 500 g,3,"500, bols, costeñ"
frijol panamito tesoro del campo bolsa 500 g,S/5.60,0,Tesoro del Campo,Metro,frijol panamit tesor camp bols 500 g,3,"500, bols, costeñ"
pallar tesoro del campo bolsa 500 g,S/7.59,0,Tesoro del Campo,Metro,pall tesor camp bols 500 g,3,"500, bols, costeñ"
arveja verde tesoro del campo bolsa 500 g,S/3.70,0,Tesoro del Campo,Metro,arvej verd tesor camp bols 500 g,3,"500, bols, costeñ"
arroz integral costeño bolsa 750 g,S/. 5.30,0,Costeño,Metro,arroz integral costeñ bols 750 g,7,"arroz, kg, extra"
arroz superior costeño bolsa 750 g,S/. 4.10,0,Costeño,Metro,arroz superior costeñ bols 750 g,7,"arroz, kg, extra"
aceite de oliva filippo berio extra virgen 500ml,S/. 21.68,24 %,Filippo Berio,Metro,aceit oliv filipp beri extra virg 500ml,5,"aceit, atun, vegetal"
aceite de oliva extra virgen carbonell botella 1 lt,S/. 45.90,0,Carbonell,Metro,aceit oliv extra virg carbonell botell 1 lt,5,"aceit, atun, vegetal"
aceite de oliva la española extra virgen botella 500 ml,S/. 19.90,31 %,La Española,Metro,aceit oliv español extra virg botell 500 ml,5,"aceit, atun, vegetal"
aceite de oliva el olivar virgen botella 200 ml,S/12.90,0,El Olivar,Metro,aceit oliv oliv virg botell 200 ml,5,"aceit, atun, vegetal"
aceite de oliva extra virgen carbonell botella 250 ml,S/. 15.90,0,Carbonell,Metro,aceit oliv extra virg carbonell botell 250 ml,5,"aceit, atun, vegetal"
aceite de ajonjolí alida chiang botella 60 ml,S/8.99,0,Alida Chiang,Metro,aceit ajonjol alid chiang botell 60 ml,5,"aceit, atun, vegetal"
chicle trident sabor yerbabuena 45.5g,S/9.10,0,Trident,Metro,chicl trident sabor yerbabuen 45.5g,9,"sabor, instantane, sop"
chicle trident sabor fresa 45.5g,S/9.00,0,Trident,Metro,chicl trident sabor fres 45.5g,9,"sabor, instantane, sop"
cheetos mega queso 90g,S/5.10,0,Frito Lays,Metro,cheet meg ques 90g,0,"sals, bols, chocolat"
mezcla de nueces y semillas trunuts manímix 150g,S/9.90,0,Trunuts,Metro,mezcl nuec semill trunuts manimix 150g,0,"sals, bols, chocolat"
fideos cuisine &co linguini 450g,S/4.10,0,cuisine---co,Metro,fide cuisin & co linguini 450g,6,"cuisin, co, fide"
sazonador tuco con hongos y laurel la sazón de don benito 63g,S/4.60,0,La Sazón de Don Benito,Metro,sazon tuc hong laurel sazon don benit 63g,4,"sibarit, mol, sazon"
sazonador ají panca sin picante la sazón de don benito 63g,S/1.99,0,La Sazón de Don Benito,Metro,sazon aji panc picant sazon don benit 63g,4,"sibarit, mol, sazon"
mayonesa b&d doypack 190g,S/6.00,20 %,b-d,Metro,mayones b & d doypack 190g,0,"sals, bols, chocolat"
bombones de chocolate lindt lindor 37g,S/9.70,11 %,Lindt,Metro,bombon chocolat lindt lindor 37g,0,"sals, bols, chocolat"
tripack filete de atún en aceite cuisine & co 170g,S/17.70,0,Cuisine & Co,Metro,tripack filet atun aceit cuisin & co 170g,6,"cuisin, co, fide"
algarrobina dulce natura 500g,S/13.90,22 %,Dulce Natura,Metro,algarrobin dulc natur 500g,11,"500g, maxim, co"
algarrobina dulce natura 300g,S/9.50,20 %,Dulce Natura,Metro,algarrobin dulc natur 300g,0,"sals, bols, chocolat"
mostaza dijon french's 340g,S/11.20,19 %,French's,Metro,mostaz dijon french 's 340g,0,"sals, bols, chocolat"
ají criollo alpesa 380g,S/9.90,0,Alpesa,Metro,aji crioll alpes 380g,0,"sals, bols, chocolat"
piqueo sanck frito lay 55g,S/2.60,0,Frito Lays,Metro,pique sanck frit lay 55g,0,"sals, bols, chocolat"
papas fritas en hojuelas inka chips bembos clásica 120g,S/8.10,0,Inka Chips,Metro,pap frit hojuel inka chips bemb clasic 120g,0,"sals, bols, chocolat"
arroz añejo superior valle norte 750g,S/. 4.00,0,Valle Norte,Metro,arroz añej superior vall nort 750g,7,"arroz, kg, extra"
frejoles negros en conserva essential everyday 425g,S/10.70,0,Essential Everyday,Metro,frejol negr conserv essential everyday 425g,0,"sals, bols, chocolat"
chifles crickets sabor leche de tigre 150g,S/7.99,0,Crickets,Metro,chifl crickets sabor lech tigr 150g,9,"sabor, instantane, sop"
turrón san josé 1kg,S/33.90,0,San José,Metro,turron san jos 1kg,0,"sals, bols, chocolat"
sixpack oblea dulce kit kat 249g,S/15.50,22 %,Kit Kat,Metro,sixpack oble dulc kit kat 249g,0,"sals, bols, chocolat"
ají mirasol en pasta cuisine & co 200g,S/5.90,14 %,Cuisine & Co,Metro,aji mirasol past cuisin & co 200g,8,"200g, past, cuisin"
nabo encurtido huerto mejía 220g,S/9.50,0,Huerto Mejia,Metro,nab encurt huert mej 220g,0,"sals, bols, chocolat"
sopa instantánea sabor a costilla nissin ramen 85g,S/1.70,0,Nissin,Metro,sop instantane sabor costill nissin ram 85g,9,"sabor, instantane, sop"
sopa instantánea sabor a camarón nissin ramen 85g,S/1.70,0,Nissin,Metro,sop instantane sabor camaron nissin ram 85g,9,"sabor, instantane, sop"
curry hindú en polvo cuisine & co 6g,S/1.99,0,Cuisine & Co,Metro,curry hindu polv cuisin & co 6g,6,"cuisin, co, fide"
anís entero cuisine & co 8g,S/1.40,0,Cuisine & Co,Metro,anis enter cuisin & co 8g,6,"cuisin, co, fide"
maní tostado cuisine & co 100g,S/4.20,0,Cuisine & Co,Metro,man tost cuisin & co 100g,6,"cuisin, co, fide"
ají panca cuisine & co 10g,S/1.99,0,Cuisine & Co,Metro,aji panc cuisin & co 10g,6,"cuisin, co, fide"
pack x24 crema muss sabor chocolate turrón 14g,S/15.10,0,Cremino,Metro,pack x24 crem muss sabor chocolat turron 14g,0,"sals, bols, chocolat"
sazonador de pop corn sabor mantequilla costeño pops 81g,S/10.90,0,Costeño,Metro,sazon pop corn sabor mantequill costeñ pops 81g,0,"sals, bols, chocolat"
doritos firto lay's 45g,S/2.90,0,Frito Lays,Metro,dorit firt lay 's 45g,0,"sals, bols, chocolat"
vinagre tinto cuisine & co 1l,S/4.60,0,Cuisine & Co,Metro,vinagr tint cuisin & co 1l,6,"cuisin, co, fide"
berry mix original vallealto 250g,S/12.90,18 %,Vallealto,Metro,berry mix original vallealt 250g,0,"sals, bols, chocolat"
toffee sabores surtidos old england toffee 100un.,S/15.20,0,Ambrosoli,Metro,toffe sabor surt old england toffe 100un .,9,"sabor, instantane, sop"
sillao cuisine & co 250ml,S/2.80,0,Cuisine & Co,Metro,silla cuisin & co 250ml,6,"cuisin, co, fide"
pretzel crunch cuisine & co hearts 200g,S/12.50,10 %,Cuisine & Co,Metro,pretzel crunch cuisin & co hearts 200g,8,"200g, past, cuisin"
halls yerbabuena barra 9un,S/1.60,20 %,Halls,Metro,halls yerbabuen barr 9un,0,"sals, bols, chocolat"
sal parrillera grano grueso cuisine & co 750g,S/6.40,13 %,Cuisine & Co,Metro,sal parriller gran grues cuisin & co 750g,6,"cuisin, co, fide"
vinagreta alacena mostaza y pimienta 190g,S/5.50,0,AlaCena,Metro,vinagret alacen mostaz pimient 190g,0,"sals, bols, chocolat"
gelatina umsha sabor piña 120g,S/3.50,0,Umsha,Metro,gelatin umsha sabor piñ 120g,10,"gelatin, universal, polv"
gelatina umsha sabor uva 120g,S/3.50,0,Umsha,Metro,gelatin umsha sabor uva 120g,10,"gelatin, universal, polv"
pasas morenas vallealto 250g,S/7.90,0,Vallealto,Metro,pas moren vallealt 250g,0,"sals, bols, chocolat"
mezcla para panqueques waffles y crepes cuisine & co 720g,S/13.90,0,Cuisine & Co,Metro,mezcl panquequ waffl crep cuisin & co 720g,6,"cuisin, co, fide"
harina de avena integral marimiel 300 g,S/13.90,0,Marimiel,Metro,harin aven integral marimiel 300 g,0,"sals, bols, chocolat"
ajo molido piki 1kg,S/24.90,0,Piki,Metro,ajo mol piki 1kg,4,"sibarit, mol, sazon"
achiote molido toña 18g,S/2.49,0,Toña,Metro,achiot mol toñ 18g,4,"sibarit, mol, sazon"
pack ketchup 425 g + mostaza 220 g,S/7.60,20 %,B&D,Metro,pack ketchup 425 g + mostaz 220 g,0,"sals, bols, chocolat"
sazonador palillo amarillito sobre 32.4 g,S/1.05,0,Sibarita,Metro,sazon palill amarillit 32.4 g,4,"sibarit, mol, sazon"
sal gruesa 600 g,S/7.84,20 %,maras-gourmet,Metro,sal grues 600 g,0,"sals, bols, chocolat"
canela entera x 8 grs toña,S/3.70,0,Toña,Metro,canel enter x 8 grs toñ,0,"sals, bols, chocolat"
papas artesanas alita bbq bolsa 130 g,S/5.60,30 %,frito-lays,Metro,pap artesan alit bbq bols 130 g,0,"sals, bols, chocolat"
papas artesanas sal marina bolsa 135 g,S/5.60,30 %,Frito Lays,Metro,pap artesan sal marin bols 135 g,0,"sals, bols, chocolat"
chifles salados crickets 500g,S/19.60,0,Crickets,Metro,chifl sal crickets 500g,11,"500g, maxim, co"
maíz pop corn bolsa 350 g,S/3.40,0,Tesoro del Campo,Metro,maiz pop corn bols 350 g,0,"sals, bols, chocolat"
frijol canario bolsa 350 g,S/5.60,0,Tesoro del Campo,Metro,frijol canari bols 350 g,3,"500, bols, costeñ"
algarrobina frasco 500 g,S/21.50,0,Olivos del Sur,Metro,algarrobin frasc 500 g,3,"500, bols, costeñ"
arroz fortificado superior bolsa 5 kg,S/. 20.90,0,Paisana,Metro,arroz fortific superior bols 5 kg,7,"arroz, kg, extra"
arroz superior bolsa 10 kg,S/. 35.90,0,Metro,Metro,arroz superior bols 10 kg,7,"arroz, kg, extra"
vinagre de sidra de manzana orgánico bragg botella 946 ml,S/. 39.90,0,Bragg,Metro,vinagr sidr manzan organ bragg botell 946 ml,0,"sals, bols, chocolat"
chocolate oscuro 85% cacao dark tableta 100g,S/14.90,25 %,Belgian,Metro,chocolat oscur 85 % caca dark tablet 100g,0,"sals, bols, chocolat"
chocolate con leche 44% cacao montblanc 190g,S/19.90,0,MontBlanc,Metro,chocolat lech 44 % caca montblanc 190g,0,"sals, bols, chocolat"
kétchup cuisine & co 400g,S/11.70,0,Cuisine & Co,Metro,ketchup cuisin & co 400g,6,"cuisin, co, fide"
